source,text,Data Bersih,sentiment_score,sentiment_label
YouTube,Gimana yang udah pake BYD Seal? Ada keluhan? Yuk ngobrol2😄,gimana udah pakai byd seal keluh yuk ngobrol,5,Positif
YouTube,"btw, saya sudah 3x ke jogja, 1x ke magelang, 2x ke semarang, dan tak terhitung ke bandung.. domisili bekasi.. 
selama ini jalan keluar kota pakai EV aman kok,. charging di tiap rest area jg banyak,. saya mampir ke rest area utk istirahat makan/sholat/toilet,. itu udah ckup bgt utk charge sampai 80-90%,.  

Jadi kalau sudah beberapa kali pakai EV keluar kota, cenderung aman kok,. 
beberapa teman saya jg ada yg dari lampung ke bali, sudah >5 temen yg cerita bahwa aman kok sampai ke bali..",btw x jogja x magelang x semarang hitung bandung domisili bekas jalan kota pakai ev aman charging rest area mampir rest area utk istirahat makansholattoilet udah ckup banget utk charge kali pakai ev kota cenderung aman teman lampung bal temen cerita aman bal,3,Positif
YouTube,"Seneng liat youtuber review mobil2 listrik kerennya.tetspi rezeki memang beda,sy mah cukup bersyukur dan Alhamdulillah  walau hanya punya Pajero sport Dakar 4x4 aja.😊😊.",neng lihat youtuber review mobil listrik kerennyatetspi rezeki bedasy mah syukur alhamdulillah pajero sport dakar x,22,Positif
YouTube,Tyu koh informasinya. Ditunggu update-an nya,tyu koh informasi tunggu updatean nya,3,Positif
YouTube,Kren banget bossku ❤,keren banget bossku,1,Positif
YouTube,Kereeen.. Reviewnya sangat bermanfaat 😀,keren reviewnya manfaat,5,Positif
YouTube,"Nice user experience Ko, thankss :)",nice user experience ko thankss,4,Positif
YouTube,"yg jd pertimbangan motor listrik n mobil listrik,  nomor 1 itu baterainya...   like👍",timbang motor listrik n mobil listrik nomor baterai like,-2,Negatif
YouTube,Thanks banget infonya Koh. tercerahkan,thanks banget info koh cerah,1,Positif
YouTube,Sangat membantu review ini,bantu review,3,Positif
YouTube,Thx banget infonya,thx banget info,-2,Negatif
YouTube,Thanks infonya,thanks info,0,Netral
YouTube,coba road trip k bali ko,coba road trip bal ko,2,Positif
YouTube,Tidak disarankan buat mudik lebaran 😂,saran mudik lebaran,-1,Negatif
YouTube,salah satu impian ku mau punya BYD😌😁,salah impi ku byd,-4,Negatif
YouTube,Suka bgt sama reviewnya! Santai tapi tetep jelas. Sukses selalu bang 🎉,suka banget reviewnya santai tetep sukses bang,9,Positif
YouTube,Semoga bisa beli mobil ini tahun depan. Aamiin,moga beli mobil aamiin,6,Positif
YouTube,"buseet angin bannya ko, keras bgt itu.",buseet angin ban ko keras banget,1,Positif
YouTube,"Rencana mau ambil Honda Stepwgn, Indonesia ga dapet Odyssey ala North America but Stepwgn itu udah pas banget utk gw. Ayo direview bro 😁",rencana ambil honda stepwgn indonesia dapet odyssey ala north america but stepwgn udah pas banget utk gw ayo direview bro,7,Positif
YouTube,"Thanks review nya, saya jd terinspirasi tunggu hydrogen-powered fuel cell electric vehicle (FCEV) aja dari toyota.",thanks review nya inspirasi tunggu hydrogenpowered fuel cell electric vehicle fcev toyota,1,Positif
YouTube,"Saya udh pake dari bulan feb 2025. Persis kyk punya kamu bang, seal premium, aurora white. Saya pakai Oppo Find N3 bisa pakai digital key jadi ga perlu bawa kunci lagi👍",pakai feb persis bang seal premium aurora white pakai oppo find n pakai digital key bawa kunci,6,Positif
YouTube,setelah upgrade software skrg malah headlamp jadi auto nyala terus... 😅 bisa di rollback ke versi sblmnya ga sih,upgrade software headlamp auto nyala rollback versi sblmnya sih,2,Positif
YouTube," @rifandy  nah iya ini di mode off juga dia jadi auto gitu, bukan off hadeh",iya mode off auto gitu off hadeh,-4,Negatif
YouTube,​ @rifandy kalo mau off transmisi ganti ke P dulu bang. Kalau msh di D akan terus On,off transmisi ganti p bang on,3,Positif
YouTube,Ko itu gmn caranya ganti wallpaper di speedometer ko tampilannya bagus ada bulat2nya gt..beda sm seal punya sy tampilan screennya,ko ganti wallpaper speedometer ko tampil bagus bulat gtbeda seal sy tampil screennya,4,Positif
YouTube," @fransjoseph309  ​ Pernah saya bahas di video head unit BYD seal, kalo mau geser widget nya tinggal tap and hold aja, kayak smartphone android",bahas video head unit byd seal geser widget nya tinggal tap and hold kayak smartphone android,-2,Negatif
YouTube,Ground clearance rendah 😢,ground clearance rendah,-5,Negatif
YouTube,Mau tinggi? Beli SUV atuh om... Jangan sedan sporty 😅​ @CelevYonem ,beli suv atuh om sedan sporty,1,Positif
YouTube, @CelevYonem  Saya kemarin coba test drive Seal. justru menurut saya ground celarance-nya ketinggian. Ngga seperti naik Sedan. 🙂,kemarin coba test drive seal ground celarancenya tinggi ngga sedan,3,Positif
YouTube,"udah koh, kebaca lo mau ganti ke Sealion 7 hehe",udah koh baca lo ganti sealion hehe,6,Positif
YouTube,"Puaaasss..DO juli 2024 juga, KM udah hampir 12K..selama setahun ga ada keluhan..",puasdo juli udah kselama tahun keluh,0,Netral
YouTube,"Untuk baterai garansi berapa km, jika ganti baterai berapa juta?",baterai garansi ganti baterai juta,-1,Negatif
YouTube,Ketika Sealion7 muncul nyesel gak koh?,sealion muncul nyesel gak koh,-4,Negatif
YouTube,Mantep bro - Testi Experience nya - gw jadi mo beli EV - ⚡⚡,mantep bro testi experience nya gw beli ev,2,Positif
YouTube,​ @peccopelco777  Beli nya yg fast charging jgn yg lite,beli nya fast charging jgn lite,2,Positif
YouTube,"tapi apakah waktu tempuh perjalanan jadi jauh lebih panjang dibanding mobil ICE ? jika iya, seberapa signifikan ?",tempuh jalan banding mobil ice iya signifikan,4,Positif
YouTube,"​ @juwandysusilo kalau saya sih engggk om, krn naik mobil ice tetap berhenti ke rest area, drpd ngantuk di jalan..",sih engk om mobil ice henti rest area drpd ngantuk jalan,-5,Negatif
YouTube,kalo mudik lebaran gimana? pernah tuh liat di rest area chargernya full harus ngantri,mudik lebaran gimana tuh lihat rest area chargernya full ngantri,0,Netral
YouTube,"​ @markdev11 harus perhitungan si,. klo penuh ya cari ke rest area lain,. dan di aplikasi PLN jg ada jarak, seerta apa dipakai atau available..",hitung si klo penuh ya cari rest area aplikasi pln jarak seerta pakai available,1,Positif
YouTube,"​ @markdev11  kan lokasinya gk cuma 1 bang , dan user mobil listrik mash dikit buanget , mash lbh byk jumlah tempat cas nya",lokasi bang user mobil listrik mash dikit buanget mash byk cas nya,-3,Negatif
YouTube,"Jangan lupa, ini br 1 taun. Efek gelombang emf nya belum terlalu keliatan, karena juga blm byk risetny. Liat aja tahun2 ke depannya",lupa br taun efek gelombang emf nya liat byk risetny lihat depan,4,Positif
YouTube,Terimakasih adik atas penjelasan BYD nya mantap biaya SGT mrh mantap💗💗💗💗💗💗👍👍👍,terimakasih adik jelas byd nya mantap biaya sgt mrh mantap,16,Positif
YouTube,Mobil apa itu bang..? Trs brp KM jarak tempuh Baterai nya,mobil bang trs jarak tempuh baterai nya,1,Positif
YouTube,"Bang klo k bali naik ev, d pelabuhan ribet g y",bang klo bal ev labuh ribet y,-1,Negatif
YouTube,"​ @Bina-u9c nah ini trgantung dari pemilik kapal om,. ada yg belum mau,. tp kebanyakan sih aman² aja..",uc trgantung milik kapal om banyak sih aman,1,Positif
YouTube,"Baterai nya itu bertahan berapa tahun,
Lalu bila pasang dan beli baterai baru nya 
Berapa Rp......
Itu yg terpenting",baterai nya tahan pasang beli baterai nya rp penting,4,Positif
YouTube,"elo terlalu banyak mampir ke spklu, kalo gw cukup 2x , gak mau habisin waktu cuman buat ngecharge terlalu banyak, mending upgrade EV yang battery nya 100 kwh lebih ato pake mobil hybrid / bensin daripada buang waktu di SPKLU",elo mampir spklu gw x gak habisin cuman ngecharge mending upgrade ev battery nya kwh ato pakai mobil hybrid bensin buang spklu,2,Positif
YouTube,"​@ParetoEmperor-jp6keemng dsitu ada saya nulis sering ngecharge,. itu kan saya cm bilang kalau bnyk charging di rest area",jpkeemng dsitu nulis ngecharge cm bilang bnyk charging rest area,0,Netral
YouTube,Gue sumpahin habis ini lo beli byd cash bang!,gue sumpahin habis lo beli byd cash bang,7,Positif
YouTube,Thanks udah nonton! Semoga membantu yaa 😃,thanks udah nonton moga bantu yaa,7,Positif
YouTube,"Thank you for watching, semoga bermanfaat!",thank you for watching moga manfaat,10,Positif
YouTube,"Sama-sama, semoga membantu!",samasama moga bantu,4,Positif
YouTube,versi yangwang klo dah eksis bang 😅,versi yangwang klo dah eks bang,-6,Negatif
YouTube,Amin,amin,3,Positif
YouTube,"Makasih infonya koh, bahan masukan utk ambil mobil listrik",makasih info koh bahan masuk utk ambil mobil listrik,-9,Negatif
YouTube,Buka cabang review ya bang ? 😅,buka cabang review ya bang,7,Positif
YouTube,"Sebelum EV menyerang, kayanya Toyota 86 jadi ""sport"" sedan affordable. Tapi makin kesini EV sedan mobchin memang beyond!!!",ev serang kaya toyota sport sedan affordable kesini ev sedan mobchin beyond,-2,Negatif
YouTube,"Saya beli BYD Seal justru second, NIK 2024 akhir, kilometer baru 3 ribuan, dapet di harga 440 malah direct owner di olx. Jauh lebih puas, krn tadinya niat mau ambil sealion tp secara range dan harga lebih oke BYD seal, alhasil ambil yg second",beli byd seal second nik kilometer ribu dapet harga direct owner olx puas niat ambil sealion range harga oke byd seal alhasil ambil second,5,Positif
YouTube,"INTERESTING SIH, cm gua lebih *prefer rental ja klo pgin new XP , toh di rmh jg dah da mobil🤭
Lgian males macet2 an, kcuali urgen bru bawa mobil",interesting sih cm gua prefer rental ja klo pgin new xp rmh dah da mobil lgian males macet an kcuali urgen bru bawa mobil,-11,Negatif
YouTube,Siiiipppppl.....,sipl,0,Netral
YouTube,Keren,keren,0,Netral
YouTube,Bagi info soal phone holdernya dong ko,info phone holdernya ko,-3,Negatif
YouTube,"Point nya adalah: 
1. Mobil EV yg kata pabriknya sanggup menempuh 600km sekali full cas amannya cuma 500km
2. Mobil EV masih belum bisa buat mudik Lebaran, bayangkan seandainya banyak yg pakai EV terus di Rest Area Tol Semarang antri panjang buat ngecas, butuh waktu yg jauh lebih lama buat sampai tujuan
3. Bagi yg berduit, mobil EV jadi kendaraan andalan buat dalam kota, dan mobil Hybrid khusus luar kota",point nya mobil ev pabrik sanggup tempuh full cas aman mobil ev mudik lebaran bayang anda pakai ev rest area tol semarang antri ngecas butuh tuju duit mobil ev kendara andal kota mobil hybrid khusus kota,5,Positif
YouTube,wow,wow,0,Netral
YouTube,bang di next video BYD tunjukin kalau harga baterainya brp? misal udh lebih dari 8thn,bang next video byd tunjukin harga baterai thn,-2,Negatif
YouTube,Beli Denza z9 gt bang ganteng banget tuh mobil anaka perusahaan byd juga,beli denza z gt bang ganteng banget tuh mobil anaka usaha byd,9,Positif
YouTube,Byd plat B  sudah sampai Probolinggo sajaa,byd plat b probolinggo sajaa,0,Netral
YouTube,"Tumpak an ku Honda beat. ,  kpn Yo ISO ndue mobil sing penak awet dll",tumpak an ku honda beat kpn yo iso ndue mobil sing penak awet dll,10,Positif
YouTube,Penyesalan terbesar konsumen BYD adalah membeli terlalu awal… 😂,sesal besar konsumen byd beli,7,Positif
YouTube,atto 1 lumayan itu ko malvin,atto lumayan ko malvin,1,Positif
YouTube,Penggunaan lebih byk dalam kota atau luar kota? BYD seal ini mobil utama atau bukan?,guna byk kota kota byd seal mobil utama,0,Netral
YouTube,"Tambahan aja tp mungkin sdh pernah dibahas sebelumnya, yaitu value of investment, jadi kalau nantinya mobil akan dijual apakah harganya bisa baik atau bikin sakit hati?",tambah sdh bahas value of investment mobil jual harga bikin sakit hati,7,Positif
YouTube,"Masih menunggu byd seal under 400 juta 😂
Ayooo lah Thailand uda 460juta.
😂😂😂",tunggu byd seal under juta ayo thailand uda juta,9,Positif
YouTube,bgmnpun jg mobil bensin tetep topmarkot000pp.....,bgmnpun mobil bensin tetep topmarkotpp,1,Positif
YouTube,Toyota mobil orang kere,toyota mobil orang kere,1,Positif
YouTube,njir 😹,njir,-3,Negatif
YouTube,Izin bang mau tanya beli yang premium apa yang performance?  Dan apa garansi nya masih berlaku kalau sudah berganti pemilik?,izin bang beli premium performance garansi nya laku ganti milik,4,Positif
